FID,IID,SOL,C1,C2,C3,C4
0,C10191,0,-0.046925,0.0312794,0.0075486,-0.00182278
0,C10194,0,-0.0397256,0.0452794,-0.00319269,0.0105622
0,C10199,0,-0.045141,0.0424563,-0.00130927,0.00957978
0,C10201,0,0.057007,-0.0176626,0.0236759,-0.0164204
0,C10209,0,-0.00188064,0.0164756,0.0105288,-0.000327882
0,C10211,0,-0.038563,0.00316201,0.0366901,-0.0220114
0,C10219,0,0.0531572,-0.00790186,0.0199209,-0.0155157
0,C10220,0,-0.0341801,0.0245698,0.0139211,-0.00576166
0,C10222,0,0.0052479,0.0221724,0.00534511,0.0013879
0,C10223,0,-0.0407169,0.037305,0.00340871,0.0015773
0,C10224,0,0.017006,0.0152431,0.00712294,-0.000717199
0,C10227,0,-0.00142389,0.0209304,0.00624778,-0.00124188
0,C10228,0,-0.041241,0.0147689,0.0283931,-0.0137124
0,C10231,0,0.0170927,0.00126639,0.0235976,-0.0139532
0,C10234,0,-0.0458773,0.0396539,-0.00314359,0.00518122
0,C10239,0,-0.0463784,0.0123622,-0.00857581,0.00783603
0,C10245,0,-0.0233473,0.0166546,0.0161276,-0.00484504
0,C10252,0,0.0570935,-0.00265301,0.0144456,-0.00585741
0,C10255,0,-0.0323094,0.0337259,-0.000632925,0.00858765
0,C10256,0,-0.0153549,0.00591349,0.0267063,-0.0135352
0,C10258,0,-0.0359997,0.0247745,0.0134339,-0.000592228
0,C10266,0,-0.042846,0.0368637,0.00531392,0.00065543
0,C10277,0,0.0102916,0.0185134,0.0031414,0.001632
0,C10281,0,-0.0384943,0.0389685,-0.00217756,0.00606973
0,C10288,0,0.00165275,0.0165807,0.0081228,-0.00596078
0,C10289,0,-0.0328678,0.0365851,-0.001006,0.00494173
0,C10296,0,-0.0388641,0.0380383,0.00106861,0.00899356
0,C10299,0,-0.0275698,0.0206145,0.0140279,-0.00453235
0,C10300,0,-0.0448837,0.0243965,0.0162626,-0.00307918
0,C10301,0,-0.0423361,0.0234775,0.0169378,-0.00224686
0,C10305,0,0.00738106,0.0115557,0.0156718,-0.00852156
0,C10306,0,-0.0359985,0.0221546,0.0150038,-0.00427917
0,C10307,0,-0.0416576,0.0396147,-0.00292275,0.00905969
0,C10311,0,-0.04047,0.0230416,0.0115219,-0.00286391
0,C10319,0,-0.039091,0.0295205,0.012987,-0.00189176
0,C10320,0,-0.000445747,0.0192576,0.00616229,-0.00146137
0,C10322,0,-0.0389139,0.0387774,-0.00144854,0.00651718
0,C10323,0,-0.0181931,0.0145283,0.0181606,-0.00625989
0,C10324,0,-0.0217602,0.0280199,0.00381142,0.00267819
0,C10326,0,-0.0366582,0.0376415,-0.00131756,0.00443396
0,C10331,0,-0.0426513,0.0184512,0.0212837,-0.0110687
0,C10341,0,0.00422617,0.0141898,0.0121118,-0.00331121
0,C10344,0,-0.0401068,0.01983,0.0176868,-0.00712966
0,C10345,0,0.0475298,0.00242729,0.00972062,-0.00660958
0,C10346,0,-0.0529072,0.0507231,-0.00958846,0.0129117
0,C10350,0,0.0164213,0.0157234,0.0045033,0.000395648
0,C10351,0,-0.0329237,0.03709,0.00346931,0.00731766
0,C10355,0,-0.0240143,-0.0197823,0.0540183,-0.0360319
0,C10356,0,-0.0410944,0.0243469,0.0131355,-0.00776499
0,C10358,0,-0.00268455,0.0205473,0.0090737,-0.000596254
0,C10363,0,-0.00711282,0.0123422,0.0163521,-0.00565123
0,C10365,0,-0.00298767,0.0148571,0.00964948,-0.0038958
0,C10372,0,0.00657258,-0.00264317,0.0251314,-0.0172835
0,C10374,0,0.033263,-0.00521253,0.0221269,-0.0171038
0,C10380,0,-0.0313172,0.0363359,0.00252938,0.00551521
0,C10390,0,-0.0381419,0.0409937,0.00197715,0.00741093
0,C10391,0,0.0205345,0.0110104,0.00795732,-0.0015673
0,C10393,0,-0.0454528,0.0352859,0.00160258,0.00357884
0,C10394,0,-0.00994309,0.0107164,0.01968,-0.00996662
0,C10401,0,-0.0496596,0.0496057,-0.0102388,0.0115596
0,C10407,0,-0.0471414,0.0323674,0.00916227,0.00280901
0,C10410,0,-0.0141528,0.0166968,0.0150652,-0.00519628
0,C10414,0,0.0233177,0.00958533,0.0127324,-0.00387695
0,C10415,0,-0.0226338,0.0208943,0.013362,-0.00368568
